"","zip","county","County.FIP","Name","State","State.FIP","County.Name"
"2255","43930",39029,29,"Ohio","OH",39,"Columbiana County"
"2256","45316",39057,57,"Ohio","OH",39,"Greene County"
"2257","43164",39141,141,"Ohio","OH",39,"Ross County"
"2258","43436",39123,123,"Ohio","OH",39,"Ottawa County"
"2259","43111",39073,73,"Ohio","OH",39,"Hocking County"
"2260","43438",39043,43,"Ohio","OH",39,"Erie County"
"2261","45069",39061,61,"Ohio","OH",39,"Hamilton County"
"2262","45435",39057,57,"Ohio","OH",39,"Greene County"
"2263","44799",39151,151,"Ohio","OH",39,"Stark County"
"2264","45876",39137,137,"Ohio","OH",39,"Putnam County"
"2265","44049",39093,93,"Ohio","OH",39,"Lorain County"
"2266","45713",39167,167,"Ohio","OH",39,"Washington County"
"2267","43926",39081,81,"Ohio","OH",39,"Jefferson County"
"2268","45131",39015,15,"Ohio","OH",39,"Brown County"
"2269","44492",39029,29,"Ohio","OH",39,"Columbiana County"
"2270","45051",39061,61,"Ohio","OH",39,"Hamilton County"
"2271","44838",39005,5,"Ohio","OH",39,"Ashland County"
"2272","43195",39049,49,"Ohio","OH",39,"Franklin County"
"2273","45783",39105,105,"Ohio","OH",39,"Meigs County"
"2274","43126",39129,129,"Ohio","OH",39,"Pickaway County"
"2275","44679",39157,157,"Ohio","OH",39,"Tuscarawas County"
"2276","44678",39157,157,"Ohio","OH",39,"Tuscarawas County"
"2277","44617",39075,75,"Ohio","OH",39,"Holmes County"
"2278","45699",39145,145,"Ohio","OH",39,"Scioto County"
"2279","45115",39015,15,"Ohio","OH",39,"Brown County"
"2280","43047",39021,21,"Ohio","OH",39,"Champaign County"
"2281","43144",39073,73,"Ohio","OH",39,"Hocking County"
"2282","45841",39065,65,"Ohio","OH",39,"Hardin County"
"2283","44439",39155,155,"Ohio","OH",39,"Trumbull County"
"2284","43733",39059,59,"Ohio","OH",39,"Guernsey County"
"2285","43117",39129,129,"Ohio","OH",39,"Pickaway County"
"2286","45787",39167,167,"Ohio","OH",39,"Washington County"
"2287","43984",39067,67,"Ohio","OH",39,"Harrison County"
"2288","43928",39013,13,"Ohio","OH",39,"Belmont County"
"2289","43735",39119,119,"Ohio","OH",39,"Muskingum County"
"2290","43060",39159,159,"Ohio","OH",39,"Union County"
"2291","43941",39081,81,"Ohio","OH",39,"Jefferson County"
"2292","44493",39029,29,"Ohio","OH",39,"Columbiana County"
"2293","44665",39029,29,"Ohio","OH",39,"Columbiana County"
"2294","43667",39095,95,"Ohio","OH",39,"Lucas County"
"2295","43410",39143,143,"Ohio","OH",39,"Sandusky County"
"2296","43613",39095,95,"Ohio","OH",39,"Lucas County"
"2297","43614",39095,95,"Ohio","OH",39,"Lucas County"
"2298","43611",39095,95,"Ohio","OH",39,"Lucas County"
"2299","43525",39173,173,"Ohio","OH",39,"Wood County"
"2300","44515",39099,99,"Ohio","OH",39,"Mahoning County"
"2301","44413",39029,29,"Ohio","OH",39,"Columbiana County"
"2302","44483",39155,155,"Ohio","OH",39,"Trumbull County"
"2303","44503",39099,99,"Ohio","OH",39,"Mahoning County"
"2304","44436",39099,99,"Ohio","OH",39,"Mahoning County"
"2305","44667",39169,169,"Ohio","OH",39,"Wayne County"
"2306","44473",39155,155,"Ohio","OH",39,"Trumbull County"
"2307","45880",39125,125,"Ohio","OH",39,"Paulding County"
"2308","45874",39161,161,"Ohio","OH",39,"Van Wert County"
"2309","44108",39035,35,"Ohio","OH",39,"Cuyahoga County"
"2310","44111",39035,35,"Ohio","OH",39,"Cuyahoga County"
"2311","44070",39035,35,"Ohio","OH",39,"Cuyahoga County"
"2312","44092",39085,85,"Ohio","OH",39,"Lake County"
"2313","44099",39007,7,"Ohio","OH",39,"Ashtabula County"
"2314","44145",39035,35,"Ohio","OH",39,"Cuyahoga County"
